	studytype	studymodel	designmodel	designmethod
0	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	RETROSPECTIVE
1	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	PROSPECTIVE
2	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	CROSS_SECTIONAL
3	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	OTHER
4	OBSERVATIONAL	COHORT	PATIENT_REGISTRY	NONE
5	OBSERVATIONAL	COHORT	NOT_REGISTRY	RETROSPECTIVE
6	OBSERVATIONAL	COHORT	NOT_REGISTRY	PROSPECTIVE
7	OBSERVATIONAL	COHORT	NOT_REGISTRY	CROSS_SECTIONAL
8	OBSERVATIONAL	COHORT	NOT_REGISTRY	OTHER
9	OBSERVATIONAL	COHORT	NOT_REGISTRY	NONE
10	OBSERVATIONAL	COHORT	NONE	RETROSPECTIVE
11	OBSERVATIONAL	COHORT	NONE	PROSPECTIVE
12	OBSERVATIONAL	COHORT	NONE	CROSS_SECTIONAL
13	OBSERVATIONAL	COHORT	NONE	OTHER
14	OBSERVATIONAL	COHORT	NONE	NONE
15	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	RETROSPECTIVE
16	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	PROSPECTIVE
17	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	CROSS_SECTIONAL
18	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	OTHER
19	OBSERVATIONAL	CASE_CONTROL	PATIENT_REGISTRY	NONE
20	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	RETROSPECTIVE
21	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	PROSPECTIVE
22	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	CROSS_SECTIONAL
23	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	OTHER
24	OBSERVATIONAL	CASE_CONTROL	NOT_REGISTRY	NONE
25	OBSERVATIONAL	CASE_CONTROL	NONE	RETROSPECTIVE
26	OBSERVATIONAL	CASE_CONTROL	NONE	PROSPECTIVE
27	OBSERVATIONAL	CASE_CONTROL	NONE	CROSS_SECTIONAL
28	OBSERVATIONAL	CASE_CONTROL	NONE	OTHER
29	OBSERVATIONAL	CASE_CONTROL	NONE	NONE
30	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	RETROSPECTIVE
31	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	PROSPECTIVE
32	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	CROSS_SECTIONAL
33	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	OTHER
34	OBSERVATIONAL	CASE_ONLY	PATIENT_REGISTRY	NONE
35	OBSERVATIONAL	CASE_ONLY	NOT_REGISTRY	RETROSPECTIVE
36	OBSERVATIONAL	CASE_ONLY	NOT_REGISTRY	PROSPECTIVE
37	OBSERVATIONAL	CASE_ONLY	NOT_REGISTRY	CROSS_SECTIONAL
38	OBSERVATIONAL	CASE_ONLY	NOT_REGISTRY	OTHER
39	OBSERVATIONAL	CASE_ONLY	NOT_REGISTRY	NONE
40	OBSERVATIONAL	CASE_ONLY	NONE	RETROSPECTIVE
41	OBSERVATIONAL	CASE_ONLY	NONE	PROSPECTIVE
42	OBSERVATIONAL	CASE_ONLY	NONE	CROSS_SECTIONAL
43	OBSERVATIONAL	CASE_ONLY	NONE	OTHER
44	OBSERVATIONAL	CASE_ONLY	NONE	NONE
45	OBSERVATIONAL	CASE_CROSSOVER	PATIENT_REGISTRY	RETROSPECTIVE
46	OBSERVATIONAL	CASE_CROSSOVER	PATIENT_REGISTRY	PROSPECTIVE
47	OBSERVATIONAL	CASE_CROSSOVER	PATIENT_REGISTRY	CROSS_SECTIONAL
48	OBSERVATIONAL	CASE_CROSSOVER	PATIENT_REGISTRY	OTHER
49	OBSERVATIONAL	CASE_CROSSOVER	PATIENT_REGISTRY	NONE
50	OBSERVATIONAL	CASE_CROSSOVER	NOT_REGISTRY	RETROSPECTIVE
51	OBSERVATIONAL	CASE_CROSSOVER	NOT_REGISTRY	PROSPECTIVE
52	OBSERVATIONAL	CASE_CROSSOVER	NOT_REGISTRY	CROSS_SECTIONAL
53	OBSERVATIONAL	CASE_CROSSOVER	NOT_REGISTRY	OTHER
54	OBSERVATIONAL	CASE_CROSSOVER	NOT_REGISTRY	NONE
55	OBSERVATIONAL	CASE_CROSSOVER	NONE	RETROSPECTIVE
56	OBSERVATIONAL	CASE_CROSSOVER	NONE	PROSPECTIVE
57	OBSERVATIONAL	CASE_CROSSOVER	NONE	CROSS_SECTIONAL
58	OBSERVATIONAL	CASE_CROSSOVER	NONE	OTHER
59	OBSERVATIONAL	CASE_CROSSOVER	NONE	NONE
60	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	PATIENT_REGISTRY	RETROSPECTIVE
61	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	PATIENT_REGISTRY	PROSPECTIVE
62	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	PATIENT_REGISTRY	CROSS_SECTIONAL
63	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	PATIENT_REGISTRY	OTHER
64	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	PATIENT_REGISTRY	NONE
65	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NOT_REGISTRY	RETROSPECTIVE
66	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NOT_REGISTRY	PROSPECTIVE
67	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NOT_REGISTRY	CROSS_SECTIONAL
68	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NOT_REGISTRY	OTHER
69	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NOT_REGISTRY	NONE
70	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NONE	RETROSPECTIVE
71	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NONE	PROSPECTIVE
72	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NONE	CROSS_SECTIONAL
73	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NONE	OTHER
74	OBSERVATIONAL	ECOLOGIC_OR_COMMUNITY	NONE	NONE
75	OBSERVATIONAL	FAMILY_BASED	PATIENT_REGISTRY	RETROSPECTIVE
76	OBSERVATIONAL	FAMILY_BASED	PATIENT_REGISTRY	PROSPECTIVE
77	OBSERVATIONAL	FAMILY_BASED	PATIENT_REGISTRY	CROSS_SECTIONAL
78	OBSERVATIONAL	FAMILY_BASED	PATIENT_REGISTRY	OTHER
79	OBSERVATIONAL	FAMILY_BASED	PATIENT_REGISTRY	NONE
80	OBSERVATIONAL	FAMILY_BASED	NOT_REGISTRY	RETROSPECTIVE
81	OBSERVATIONAL	FAMILY_BASED	NOT_REGISTRY	PROSPECTIVE
82	OBSERVATIONAL	FAMILY_BASED	NOT_REGISTRY	CROSS_SECTIONAL
83	OBSERVATIONAL	FAMILY_BASED	NOT_REGISTRY	OTHER
84	OBSERVATIONAL	FAMILY_BASED	NOT_REGISTRY	NONE
85	OBSERVATIONAL	FAMILY_BASED	NONE	RETROSPECTIVE
86	OBSERVATIONAL	FAMILY_BASED	NONE	PROSPECTIVE
87	OBSERVATIONAL	FAMILY_BASED	NONE	CROSS_SECTIONAL
88	OBSERVATIONAL	FAMILY_BASED	NONE	OTHER
89	OBSERVATIONAL	FAMILY_BASED	NONE	NONE
90	OBSERVATIONAL	DEFINED_POPULATION	PATIENT_REGISTRY	RETROSPECTIVE
91	OBSERVATIONAL	DEFINED_POPULATION	PATIENT_REGISTRY	PROSPECTIVE
92	OBSERVATIONAL	DEFINED_POPULATION	PATIENT_REGISTRY	CROSS_SECTIONAL
93	OBSERVATIONAL	DEFINED_POPULATION	PATIENT_REGISTRY	OTHER
94	OBSERVATIONAL	DEFINED_POPULATION	PATIENT_REGISTRY	NONE
95	OBSERVATIONAL	DEFINED_POPULATION	NOT_REGISTRY	RETROSPECTIVE
96	OBSERVATIONAL	DEFINED_POPULATION	NOT_REGISTRY	PROSPECTIVE
97	OBSERVATIONAL	DEFINED_POPULATION	NOT_REGISTRY	CROSS_SECTIONAL
98	OBSERVATIONAL	DEFINED_POPULATION	NOT_REGISTRY	OTHER
99	OBSERVATIONAL	DEFINED_POPULATION	NOT_REGISTRY	NONE
100	OBSERVATIONAL	DEFINED_POPULATION	NONE	RETROSPECTIVE
101	OBSERVATIONAL	DEFINED_POPULATION	NONE	PROSPECTIVE
102	OBSERVATIONAL	DEFINED_POPULATION	NONE	CROSS_SECTIONAL
103	OBSERVATIONAL	DEFINED_POPULATION	NONE	OTHER
104	OBSERVATIONAL	DEFINED_POPULATION	NONE	NONE
105	OBSERVATIONAL	NATURAL_HISTORY	PATIENT_REGISTRY	RETROSPECTIVE
106	OBSERVATIONAL	NATURAL_HISTORY	PATIENT_REGISTRY	PROSPECTIVE
107	OBSERVATIONAL	NATURAL_HISTORY	PATIENT_REGISTRY	CROSS_SECTIONAL
108	OBSERVATIONAL	NATURAL_HISTORY	PATIENT_REGISTRY	OTHER
109	OBSERVATIONAL	NATURAL_HISTORY	PATIENT_REGISTRY	NONE
110	OBSERVATIONAL	NATURAL_HISTORY	NOT_REGISTRY	RETROSPECTIVE
111	OBSERVATIONAL	NATURAL_HISTORY	NOT_REGISTRY	PROSPECTIVE
112	OBSERVATIONAL	NATURAL_HISTORY	NOT_REGISTRY	CROSS_SECTIONAL
113	OBSERVATIONAL	NATURAL_HISTORY	NOT_REGISTRY	OTHER
114	OBSERVATIONAL	NATURAL_HISTORY	NOT_REGISTRY	NONE
115	OBSERVATIONAL	NATURAL_HISTORY	NONE	RETROSPECTIVE
116	OBSERVATIONAL	NATURAL_HISTORY	NONE	PROSPECTIVE
117	OBSERVATIONAL	NATURAL_HISTORY	NONE	CROSS_SECTIONAL
118	OBSERVATIONAL	NATURAL_HISTORY	NONE	OTHER
119	OBSERVATIONAL	NATURAL_HISTORY	NONE	NONE
120	OBSERVATIONAL	OTHER	PATIENT_REGISTRY	RETROSPECTIVE
121	OBSERVATIONAL	OTHER	PATIENT_REGISTRY	PROSPECTIVE
122	OBSERVATIONAL	OTHER	PATIENT_REGISTRY	CROSS_SECTIONAL
123	OBSERVATIONAL	OTHER	PATIENT_REGISTRY	OTHER
124	OBSERVATIONAL	OTHER	PATIENT_REGISTRY	NONE
125	OBSERVATIONAL	OTHER	NOT_REGISTRY	RETROSPECTIVE
126	OBSERVATIONAL	OTHER	NOT_REGISTRY	PROSPECTIVE
127	OBSERVATIONAL	OTHER	NOT_REGISTRY	CROSS_SECTIONAL
128	OBSERVATIONAL	OTHER	NOT_REGISTRY	OTHER
129	OBSERVATIONAL	OTHER	NOT_REGISTRY	NONE
130	OBSERVATIONAL	OTHER	NONE	RETROSPECTIVE
131	OBSERVATIONAL	OTHER	NONE	PROSPECTIVE
132	OBSERVATIONAL	OTHER	NONE	CROSS_SECTIONAL
133	OBSERVATIONAL	OTHER	NONE	OTHER
134	OBSERVATIONAL	OTHER	NONE	NONE
135	OBSERVATIONAL	NONE	PATIENT_REGISTRY	RETROSPECTIVE
136	OBSERVATIONAL	NONE	PATIENT_REGISTRY	PROSPECTIVE
137	OBSERVATIONAL	NONE	PATIENT_REGISTRY	CROSS_SECTIONAL
138	OBSERVATIONAL	NONE	PATIENT_REGISTRY	OTHER
139	OBSERVATIONAL	NONE	PATIENT_REGISTRY	NONE
140	OBSERVATIONAL	NONE	NOT_REGISTRY	RETROSPECTIVE
141	OBSERVATIONAL	NONE	NOT_REGISTRY	PROSPECTIVE
142	OBSERVATIONAL	NONE	NOT_REGISTRY	CROSS_SECTIONAL
143	OBSERVATIONAL	NONE	NOT_REGISTRY	OTHER
144	OBSERVATIONAL	NONE	NOT_REGISTRY	NONE
145	OBSERVATIONAL	NONE	NONE	RETROSPECTIVE
146	OBSERVATIONAL	NONE	NONE	PROSPECTIVE
147	OBSERVATIONAL	NONE	NONE	CROSS_SECTIONAL
148	OBSERVATIONAL	NONE	NONE	OTHER
149	OBSERVATIONAL	NONE	NONE	NONE
150	EXPANDED_ACCESS	NA	NA	NA
151	INTERVENTIONAL	SINGLE_GROUP	RANDOMIZED	NONE
152	INTERVENTIONAL	SINGLE_GROUP	RANDOMIZED	SINGLE
153	INTERVENTIONAL	SINGLE_GROUP	RANDOMIZED	DOUBLE
154	INTERVENTIONAL	SINGLE_GROUP	RANDOMIZED	TRIPLE
155	INTERVENTIONAL	SINGLE_GROUP	RANDOMIZED	QUADRUPLE
156	INTERVENTIONAL	SINGLE_GROUP	NON_RANDOMIZED	NONE
157	INTERVENTIONAL	SINGLE_GROUP	NON_RANDOMIZED	SINGLE
158	INTERVENTIONAL	SINGLE_GROUP	NON_RANDOMIZED	DOUBLE
159	INTERVENTIONAL	SINGLE_GROUP	NON_RANDOMIZED	TRIPLE
160	INTERVENTIONAL	SINGLE_GROUP	NON_RANDOMIZED	QUADRUPLE
161	INTERVENTIONAL	SINGLE_GROUP	NA	NONE
162	INTERVENTIONAL	SINGLE_GROUP	NA	SINGLE
163	INTERVENTIONAL	SINGLE_GROUP	NA	DOUBLE
164	INTERVENTIONAL	SINGLE_GROUP	NA	TRIPLE
165	INTERVENTIONAL	SINGLE_GROUP	NA	QUADRUPLE
166	INTERVENTIONAL	PARALLEL	RANDOMIZED	NONE
167	INTERVENTIONAL	PARALLEL	RANDOMIZED	SINGLE
168	INTERVENTIONAL	PARALLEL	RANDOMIZED	DOUBLE
169	INTERVENTIONAL	PARALLEL	RANDOMIZED	TRIPLE
170	INTERVENTIONAL	PARALLEL	RANDOMIZED	QUADRUPLE
171	INTERVENTIONAL	PARALLEL	NON_RANDOMIZED	NONE
172	INTERVENTIONAL	PARALLEL	NON_RANDOMIZED	SINGLE
173	INTERVENTIONAL	PARALLEL	NON_RANDOMIZED	DOUBLE
174	INTERVENTIONAL	PARALLEL	NON_RANDOMIZED	TRIPLE
175	INTERVENTIONAL	PARALLEL	NON_RANDOMIZED	QUADRUPLE
176	INTERVENTIONAL	PARALLEL	NA	NONE
177	INTERVENTIONAL	PARALLEL	NA	SINGLE
178	INTERVENTIONAL	PARALLEL	NA	DOUBLE
179	INTERVENTIONAL	PARALLEL	NA	TRIPLE
180	INTERVENTIONAL	PARALLEL	NA	QUADRUPLE
181	INTERVENTIONAL	CROSSOVER	RANDOMIZED	NONE
182	INTERVENTIONAL	CROSSOVER	RANDOMIZED	SINGLE
183	INTERVENTIONAL	CROSSOVER	RANDOMIZED	DOUBLE
184	INTERVENTIONAL	CROSSOVER	RANDOMIZED	TRIPLE
185	INTERVENTIONAL	CROSSOVER	RANDOMIZED	QUADRUPLE
186	INTERVENTIONAL	CROSSOVER	NON_RANDOMIZED	NONE
187	INTERVENTIONAL	CROSSOVER	NON_RANDOMIZED	SINGLE
188	INTERVENTIONAL	CROSSOVER	NON_RANDOMIZED	DOUBLE
189	INTERVENTIONAL	CROSSOVER	NON_RANDOMIZED	TRIPLE
190	INTERVENTIONAL	CROSSOVER	NON_RANDOMIZED	QUADRUPLE
191	INTERVENTIONAL	CROSSOVER	NA	NONE
192	INTERVENTIONAL	CROSSOVER	NA	SINGLE
193	INTERVENTIONAL	CROSSOVER	NA	DOUBLE
194	INTERVENTIONAL	CROSSOVER	NA	TRIPLE
195	INTERVENTIONAL	CROSSOVER	NA	QUADRUPLE
196	INTERVENTIONAL	FACTORIAL	RANDOMIZED	NONE
197	INTERVENTIONAL	FACTORIAL	RANDOMIZED	SINGLE
198	INTERVENTIONAL	FACTORIAL	RANDOMIZED	DOUBLE
199	INTERVENTIONAL	FACTORIAL	RANDOMIZED	TRIPLE
200	INTERVENTIONAL	FACTORIAL	RANDOMIZED	QUADRUPLE
201	INTERVENTIONAL	FACTORIAL	NON_RANDOMIZED	NONE
202	INTERVENTIONAL	FACTORIAL	NON_RANDOMIZED	SINGLE
203	INTERVENTIONAL	FACTORIAL	NON_RANDOMIZED	DOUBLE
204	INTERVENTIONAL	FACTORIAL	NON_RANDOMIZED	TRIPLE
205	INTERVENTIONAL	FACTORIAL	NON_RANDOMIZED	QUADRUPLE
206	INTERVENTIONAL	FACTORIAL	NA	NONE
207	INTERVENTIONAL	FACTORIAL	NA	SINGLE
208	INTERVENTIONAL	FACTORIAL	NA	DOUBLE
209	INTERVENTIONAL	FACTORIAL	NA	TRIPLE
210	INTERVENTIONAL	FACTORIAL	NA	QUADRUPLE
211	INTERVENTIONAL	SEQUENTIAL	RANDOMIZED	NONE
212	INTERVENTIONAL	SEQUENTIAL	RANDOMIZED	SINGLE
213	INTERVENTIONAL	SEQUENTIAL	RANDOMIZED	DOUBLE
214	INTERVENTIONAL	SEQUENTIAL	RANDOMIZED	TRIPLE
215	INTERVENTIONAL	SEQUENTIAL	RANDOMIZED	QUADRUPLE
216	INTERVENTIONAL	SEQUENTIAL	NON_RANDOMIZED	NONE
217	INTERVENTIONAL	SEQUENTIAL	NON_RANDOMIZED	SINGLE
218	INTERVENTIONAL	SEQUENTIAL	NON_RANDOMIZED	DOUBLE
219	INTERVENTIONAL	SEQUENTIAL	NON_RANDOMIZED	TRIPLE
220	INTERVENTIONAL	SEQUENTIAL	NON_RANDOMIZED	QUADRUPLE
221	INTERVENTIONAL	SEQUENTIAL	NA	NONE
222	INTERVENTIONAL	SEQUENTIAL	NA	SINGLE
223	INTERVENTIONAL	SEQUENTIAL	NA	DOUBLE
224	INTERVENTIONAL	SEQUENTIAL	NA	TRIPLE
225	INTERVENTIONAL	SEQUENTIAL	NA	QUADRUPLE
226	INTERVENTIONAL	NONE	RANDOMIZED	NONE
227	INTERVENTIONAL	NONE	RANDOMIZED	SINGLE
228	INTERVENTIONAL	NONE	RANDOMIZED	DOUBLE
229	INTERVENTIONAL	NONE	RANDOMIZED	TRIPLE
230	INTERVENTIONAL	NONE	RANDOMIZED	QUADRUPLE
231	INTERVENTIONAL	NONE	NON_RANDOMIZED	NONE
232	INTERVENTIONAL	NONE	NON_RANDOMIZED	SINGLE
233	INTERVENTIONAL	NONE	NON_RANDOMIZED	DOUBLE
234	INTERVENTIONAL	NONE	NON_RANDOMIZED	TRIPLE
235	INTERVENTIONAL	NONE	NON_RANDOMIZED	QUADRUPLE
236	INTERVENTIONAL	NONE	NA	NONE
237	INTERVENTIONAL	NONE	NA	SINGLE
238	INTERVENTIONAL	NONE	NA	DOUBLE
239	INTERVENTIONAL	NONE	NA	TRIPLE
240	INTERVENTIONAL	NONE	NA	QUADRUPLE
